날짜,강동구,Car registration
2016-03-01,136210.0,3083007.0
2016-03-02,136210.0,3083007.0
2016-03-03,136210.0,3083007.0
2016-03-04,136210.0,3083007.0
2016-03-05,136210.0,3083007.0
2016-03-06,136210.0,3083007.0
2016-03-07,136210.0,3083007.0
2016-03-08,136210.0,3083007.0
2016-03-09,136210.0,3083007.0
2016-03-10,136210.0,3083007.0
2016-03-11,136210.0,3083007.0
2016-03-12,136210.0,3083007.0
2016-03-13,136210.0,3083007.0
2016-03-14,136210.0,3083007.0
2016-03-15,136210.0,3083007.0
2016-03-16,136210.0,3083007.0
2016-03-17,136210.0,3083007.0
2016-03-18,136210.0,3083007.0
2016-03-19,136210.0,3083007.0
2016-03-20,136210.0,3083007.0
2016-03-21,136210.0,3083007.0
2016-03-22,136210.0,3083007.0
2016-03-23,136210.0,3083007.0
2016-03-24,136210.0,3083007.0
2016-03-25,136210.0,3083007.0
2016-03-26,136210.0,3083007.0
2016-03-27,136210.0,3083007.0
2016-03-28,136210.0,3083007.0
2016-03-29,136210.0,3083007.0
2016-03-30,136210.0,3083007.0
2016-03-31,136210.0,3083007.0
2016-04-01,136210.0,3083007.0
2016-04-02,136210.0,3083007.0
2016-04-03,136210.0,3083007.0
2016-04-04,136210.0,3083007.0
2016-04-05,136210.0,3083007.0
2016-04-06,136210.0,3083007.0
2016-04-07,136210.0,3083007.0
2016-04-08,136210.0,3083007.0
2016-04-09,136210.0,3083007.0
2016-04-10,136210.0,3083007.0
2016-04-11,136210.0,3083007.0
2016-04-12,136210.0,3083007.0
2016-04-13,136210.0,3083007.0
2016-04-14,136210.0,3083007.0
2016-04-15,136210.0,3083007.0
2016-04-16,136210.0,3083007.0
2016-04-17,136210.0,3083007.0
2016-04-18,136210.0,3083007.0
2016-04-19,136210.0,3083007.0
2016-04-20,136210.0,3083007.0
2016-04-21,136210.0,3083007.0
2016-04-22,136210.0,3083007.0
2016-04-23,136210.0,3083007.0
2016-04-24,136210.0,3083007.0
2016-04-25,136210.0,3083007.0
2016-04-26,136210.0,3083007.0
2016-04-27,136210.0,3083007.0
2016-04-28,136210.0,3083007.0
2016-04-29,136210.0,3083007.0
2016-04-30,136210.0,3083007.0
2016-05-01,136210.0,3083007.0
2016-05-02,136210.0,3083007.0
2016-05-03,136210.0,3083007.0
2016-05-04,136210.0,3083007.0
2016-05-05,136210.0,3083007.0
2016-05-06,136210.0,3083007.0
2016-05-07,136210.0,3083007.0
2016-05-08,136210.0,3083007.0
2016-05-09,136210.0,3083007.0
2016-05-10,136210.0,3083007.0
2016-05-11,136210.0,3083007.0
2016-05-12,136210.0,3083007.0
2016-05-13,136210.0,3083007.0
2016-05-14,136210.0,3083007.0
2016-05-15,136210.0,3083007.0
2016-05-16,136210.0,3083007.0
2016-05-17,136210.0,3083007.0
2016-05-18,136210.0,3083007.0
2016-05-19,136210.0,3083007.0
2016-05-20,136210.0,3083007.0
2016-05-21,136210.0,3083007.0
2016-05-22,136210.0,3083007.0
2016-05-23,136210.0,3083007.0
2016-05-24,136210.0,3083007.0
2016-05-25,136210.0,3083007.0
2016-05-26,136210.0,3083007.0
2016-05-27,136210.0,3083007.0
2016-05-28,136210.0,3083007.0
2016-05-29,136210.0,3083007.0
2016-05-30,136210.0,3083007.0
2016-05-31,136210.0,3083007.0
2016-06-01,136210.0,3083007.0
2016-06-02,136210.0,3083007.0
2016-06-03,136210.0,3083007.0
2016-06-04,136210.0,3083007.0
2016-06-05,136210.0,3083007.0
2016-06-06,136210.0,3083007.0
2016-06-07,136210.0,3083007.0
2016-06-08,136210.0,3083007.0
2016-06-09,136210.0,3083007.0
2016-06-10,136210.0,3083007.0
2016-06-11,136210.0,3083007.0
2016-06-12,136210.0,3083007.0
2016-06-13,136210.0,3083007.0
2016-06-14,136210.0,3083007.0
2016-06-15,136210.0,3083007.0
2016-06-16,136210.0,3083007.0
2016-06-17,136210.0,3083007.0
2016-06-18,136210.0,3083007.0
2016-06-19,136210.0,3083007.0
2016-06-20,136210.0,3083007.0
2016-06-21,136210.0,3083007.0
2016-06-22,136210.0,3083007.0
2016-06-23,136210.0,3083007.0
2016-06-24,136210.0,3083007.0
2016-06-25,136210.0,3083007.0
2016-06-26,136210.0,3083007.0
2016-06-27,136210.0,3083007.0
2016-06-28,136210.0,3083007.0
2016-06-29,136210.0,3083007.0
2016-06-30,136210.0,3083007.0
2016-07-01,136210.0,3083007.0
2016-07-02,136210.0,3083007.0
2016-07-03,136210.0,3083007.0
2016-07-04,136210.0,3083007.0
2016-07-05,136210.0,3083007.0
2016-07-06,136210.0,3083007.0
2016-07-07,136210.0,3083007.0
2016-07-08,136210.0,3083007.0
2016-07-09,136210.0,3083007.0
2016-07-10,136210.0,3083007.0
2016-07-11,136210.0,3083007.0
2016-07-12,136210.0,3083007.0
2016-07-13,136210.0,3083007.0
2016-07-14,136210.0,3083007.0
2016-07-15,136210.0,3083007.0
2016-07-16,136210.0,3083007.0
2016-07-17,136210.0,3083007.0
2016-07-18,136210.0,3083007.0
2016-07-19,136210.0,3083007.0
2016-07-20,136210.0,3083007.0
2016-07-21,136210.0,3083007.0
2016-07-22,136210.0,3083007.0
2016-07-23,136210.0,3083007.0
2016-07-24,136210.0,3083007.0
2016-07-25,136210.0,3083007.0
2016-07-26,136210.0,3083007.0
2016-07-27,136210.0,3083007.0
2016-07-28,136210.0,3083007.0
2016-07-29,136210.0,3083007.0
2016-07-30,136210.0,3083007.0
2016-07-31,136210.0,3083007.0
2016-08-01,136210.0,3083007.0
2016-08-02,136210.0,3083007.0
2016-08-03,136210.0,3083007.0
2016-08-04,136210.0,3083007.0
2016-08-05,136210.0,3083007.0
2016-08-06,136210.0,3083007.0
2016-08-07,136210.0,3083007.0
2016-08-08,136210.0,3083007.0
2016-08-09,136210.0,3083007.0
2016-08-10,136210.0,3083007.0
2016-08-11,136210.0,3083007.0
2016-08-12,136210.0,3083007.0
2016-08-13,136210.0,3083007.0
2016-08-14,136210.0,3083007.0
2016-08-15,136210.0,3083007.0
2016-08-16,136210.0,3083007.0
2016-08-17,136210.0,3083007.0
2016-08-18,136210.0,3083007.0
2016-08-19,136210.0,3083007.0
2016-08-20,136210.0,3083007.0
2016-08-21,136210.0,3083007.0
2016-08-22,136210.0,3083007.0
2016-08-23,136210.0,3083007.0
2016-08-24,136210.0,3083007.0
2016-08-25,136210.0,3083007.0
2016-08-26,136210.0,3083007.0
2016-08-27,136210.0,3083007.0
2016-08-28,136210.0,3083007.0
2016-08-29,136210.0,3083007.0
2016-08-30,136210.0,3083007.0
2016-08-31,136210.0,3083007.0
2016-09-01,136210.0,3083007.0
2016-09-02,136210.0,3083007.0
2016-09-03,136210.0,3083007.0
2016-09-04,136210.0,3083007.0
2016-09-05,136210.0,3083007.0
2016-09-06,136210.0,3083007.0
2016-09-07,136210.0,3083007.0
2016-09-08,136210.0,3083007.0
2016-09-09,136210.0,3083007.0
2016-09-10,136210.0,3083007.0
2016-09-11,136210.0,3083007.0
2016-09-12,136210.0,3083007.0
2016-09-13,136210.0,3083007.0
2016-09-14,136210.0,3083007.0
2016-09-15,136210.0,3083007.0
2016-09-16,136210.0,3083007.0
2016-09-17,136210.0,3083007.0
2016-09-18,136210.0,3083007.0
2016-09-19,136210.0,3083007.0
2016-09-20,136210.0,3083007.0
2016-09-21,136210.0,3083007.0
2016-09-22,136210.0,3083007.0
2016-09-23,136210.0,3083007.0
2016-09-24,136210.0,3083007.0
2016-09-25,136210.0,3083007.0
2016-09-26,136210.0,3083007.0
2016-09-27,136210.0,3083007.0
2016-09-28,136210.0,3083007.0
2016-09-29,136210.0,3083007.0
2016-09-30,136210.0,3083007.0
2016-10-01,136210.0,3083007.0
2016-10-02,136210.0,3083007.0
2016-10-03,136210.0,3083007.0
2016-10-04,136210.0,3083007.0
2016-10-05,136210.0,3083007.0
2016-10-06,136210.0,3083007.0
2016-10-07,136210.0,3083007.0
2016-10-08,136210.0,3083007.0
2016-10-09,136210.0,3083007.0
2016-10-10,136210.0,3083007.0
2016-10-11,136210.0,3083007.0
2016-10-12,136210.0,3083007.0
2016-10-13,136210.0,3083007.0
2016-10-14,136210.0,3083007.0
2016-10-15,136210.0,3083007.0
2016-10-16,136210.0,3083007.0
2016-10-17,136210.0,3083007.0
2016-10-18,136210.0,3083007.0
2016-10-19,136210.0,3083007.0
2016-10-20,136210.0,3083007.0
2016-10-21,136210.0,3083007.0
2016-10-22,136210.0,3083007.0
2016-10-23,136210.0,3083007.0
2016-10-24,136210.0,3083007.0
2016-10-25,136210.0,3083007.0
2016-10-26,136210.0,3083007.0
2016-10-27,136210.0,3083007.0
2016-10-28,136210.0,3083007.0
2016-10-29,136210.0,3083007.0
2016-10-30,136210.0,3083007.0
2016-10-31,136210.0,3083007.0
2016-11-01,136210.0,3083007.0
2016-11-02,136210.0,3083007.0
2016-11-03,136210.0,3083007.0
2016-11-04,136210.0,3083007.0
2016-11-05,136210.0,3083007.0
2016-11-06,136210.0,3083007.0
2016-11-07,136210.0,3083007.0
2016-11-08,136210.0,3083007.0
2016-11-09,136210.0,3083007.0
2016-11-10,136210.0,3083007.0
2016-11-11,136210.0,3083007.0
2016-11-12,136210.0,3083007.0
2016-11-13,136210.0,3083007.0
2016-11-14,136210.0,3083007.0
2016-11-15,136210.0,3083007.0
2016-11-16,136210.0,3083007.0
2016-11-17,136210.0,3083007.0
2016-11-18,136210.0,3083007.0
2016-11-19,136210.0,3083007.0
2016-11-20,136210.0,3083007.0
2016-11-21,136210.0,3083007.0
2016-11-22,136210.0,3083007.0
2016-11-23,136210.0,3083007.0
2016-11-24,136210.0,3083007.0
2016-11-25,136210.0,3083007.0
2016-11-26,136210.0,3083007.0
2016-11-27,136210.0,3083007.0
2016-11-28,136210.0,3083007.0
2016-11-29,136210.0,3083007.0
2016-11-30,136210.0,3083007.0
2016-12-01,136210.0,3083007.0
2016-12-02,136210.0,3083007.0
2016-12-03,136210.0,3083007.0
2016-12-04,136210.0,3083007.0
2016-12-05,136210.0,3083007.0
2016-12-06,136210.0,3083007.0
2016-12-07,136210.0,3083007.0
2016-12-08,136210.0,3083007.0
2016-12-09,136210.0,3083007.0
2016-12-10,136210.0,3083007.0
2016-12-11,136210.0,3083007.0
2016-12-12,136210.0,3083007.0
2016-12-13,136210.0,3083007.0
2016-12-14,136210.0,3083007.0
2016-12-15,136210.0,3083007.0
2016-12-16,136210.0,3083007.0
2016-12-17,136210.0,3083007.0
2016-12-18,136210.0,3083007.0
2016-12-19,136210.0,3083007.0
2016-12-20,136210.0,3083007.0
2016-12-21,136210.0,3083007.0
2016-12-22,136210.0,3083007.0
2016-12-23,136210.0,3083007.0
2016-12-24,136210.0,3083007.0
2016-12-25,136210.0,3083007.0
2016-12-26,136210.0,3083007.0
2016-12-27,136210.0,3083007.0
2016-12-28,136210.0,3083007.0
2016-12-29,136210.0,3083007.0
2016-12-30,136210.0,3083007.0
2016-12-31,136210.0,3083007.0
2017-01-01,136558.0,3116256.0
2017-01-02,136558.0,3116256.0
2017-01-03,136558.0,3116256.0
2017-01-04,136558.0,3116256.0
2017-01-05,136558.0,3116256.0
2017-01-06,136558.0,3116256.0
2017-01-07,136558.0,3116256.0
2017-01-08,136558.0,3116256.0
2017-01-09,136558.0,3116256.0
2017-01-10,136558.0,3116256.0
2017-01-11,136558.0,3116256.0
2017-01-12,136558.0,3116256.0
2017-01-13,136558.0,3116256.0
2017-01-14,136558.0,3116256.0
2017-01-15,136558.0,3116256.0
2017-01-16,136558.0,3116256.0
2017-01-17,136558.0,3116256.0
2017-01-18,136558.0,3116256.0
2017-01-19,136558.0,3116256.0
2017-01-20,136558.0,3116256.0
2017-01-21,136558.0,3116256.0
2017-01-22,136558.0,3116256.0
2017-01-23,136558.0,3116256.0
2017-01-24,136558.0,3116256.0
2017-01-25,136558.0,3116256.0
2017-01-26,136558.0,3116256.0
2017-01-27,136558.0,3116256.0
2017-01-28,136558.0,3116256.0
2017-01-29,136558.0,3116256.0
2017-01-30,136558.0,3116256.0
2017-01-31,136558.0,3116256.0
2017-02-01,136558.0,3116256.0
2017-02-02,136558.0,3116256.0
2017-02-03,136558.0,3116256.0
2017-02-04,136558.0,3116256.0
2017-02-05,136558.0,3116256.0
2017-02-06,136558.0,3116256.0
2017-02-07,136558.0,3116256.0
2017-02-08,136558.0,3116256.0
2017-02-09,136558.0,3116256.0
