Date,GDP,Economic growth rate
2016-05-12,434536,3.6
2016-05-13,434536,3.6
2016-05-14,434536,3.6
2016-05-15,434536,3.6
2016-05-16,434536,3.6
2016-05-17,434536,3.6
2016-05-18,434536,3.6
2016-05-19,434536,3.6
2016-05-20,434536,3.6
2016-05-21,434536,3.6
2016-05-22,434536,3.6
2016-05-23,434536,3.6
2016-05-24,434536,3.6
2016-05-25,434536,3.6
2016-05-26,434536,3.6
2016-05-27,434536,3.6
2016-05-28,434536,3.6
2016-05-29,434536,3.6
2016-05-30,434536,3.6
2016-05-31,434536,3.6
2016-06-01,434536,3.6
2016-06-02,434536,3.6
2016-06-03,434536,3.6
2016-06-04,434536,3.6
2016-06-05,434536,3.6
2016-06-06,434536,3.6
2016-06-07,434536,3.6
2016-06-08,434536,3.6
2016-06-09,434536,3.6
2016-06-10,434536,3.6
2016-06-11,434536,3.6
2016-06-12,434536,3.6
2016-06-13,434536,3.6
2016-06-14,434536,3.6
2016-06-15,434536,3.6
2016-06-16,434536,3.6
2016-06-17,434536,3.6
2016-06-18,434536,3.6
2016-06-19,434536,3.6
2016-06-20,434536,3.6
2016-06-21,434536,3.6
2016-06-22,434536,3.6
2016-06-23,434536,3.6
2016-06-24,434536,3.6
2016-06-25,434536,3.6
2016-06-26,434536,3.6
2016-06-27,434536,3.6
2016-06-28,434536,3.6
2016-06-29,434536,3.6
2016-06-30,434536,3.6
2016-07-01,439480,2.8
2016-07-02,439480,2.8
2016-07-03,439480,2.8
2016-07-04,439480,2.8
2016-07-05,439480,2.8
2016-07-06,439480,2.8
2016-07-07,439480,2.8
2016-07-08,439480,2.8
2016-07-09,439480,2.8
2016-07-10,439480,2.8
2016-07-11,439480,2.8
2016-07-12,439480,2.8
2016-07-13,439480,2.8
2016-07-14,439480,2.8
2016-07-15,439480,2.8
2016-07-16,439480,2.8
2016-07-17,439480,2.8
2016-07-18,439480,2.8
2016-07-19,439480,2.8
2016-07-20,439480,2.8
2016-07-21,439480,2.8
2016-07-22,439480,2.8
2016-07-23,439480,2.8
2016-07-24,439480,2.8
2016-07-25,439480,2.8
2016-07-26,439480,2.8
2016-07-27,439480,2.8
2016-07-28,439480,2.8
2016-07-29,439480,2.8
2016-07-30,439480,2.8
2016-07-31,439480,2.8
2016-08-01,439480,2.8
2016-08-02,439480,2.8
2016-08-03,439480,2.8
2016-08-04,439480,2.8
2016-08-05,439480,2.8
2016-08-06,439480,2.8
2016-08-07,439480,2.8
2016-08-08,439480,2.8
2016-08-09,439480,2.8
2016-08-10,439480,2.8
2016-08-11,439480,2.8
2016-08-12,439480,2.8
2016-08-13,439480,2.8
2016-08-14,439480,2.8
2016-08-15,439480,2.8
2016-08-16,439480,2.8
2016-08-17,439480,2.8
2016-08-18,439480,2.8
2016-08-19,439480,2.8
2016-08-20,439480,2.8
2016-08-21,439480,2.8
2016-08-22,439480,2.8
2016-08-23,439480,2.8
2016-08-24,439480,2.8
2016-08-25,439480,2.8
2016-08-26,439480,2.8
2016-08-27,439480,2.8
2016-08-28,439480,2.8
2016-08-29,439480,2.8
2016-08-30,439480,2.8
2016-08-31,439480,2.8
2016-09-01,439480,2.8
2016-09-02,439480,2.8
2016-09-03,439480,2.8
2016-09-04,439480,2.8
2016-09-05,439480,2.8
2016-09-06,439480,2.8
2016-09-07,439480,2.8
2016-09-08,439480,2.8
2016-09-09,439480,2.8
2016-09-10,439480,2.8
2016-09-11,439480,2.8
2016-09-12,439480,2.8
2016-09-13,439480,2.8
2016-09-14,439480,2.8
2016-09-15,439480,2.8
2016-09-16,439480,2.8
2016-09-17,439480,2.8
2016-09-18,439480,2.8
2016-09-19,439480,2.8
2016-09-20,439480,2.8
2016-09-21,439480,2.8
2016-09-22,439480,2.8
2016-09-23,439480,2.8
2016-09-24,439480,2.8
2016-09-25,439480,2.8
2016-09-26,439480,2.8
2016-09-27,439480,2.8
2016-09-28,439480,2.8
2016-09-29,439480,2.8
2016-09-30,439480,2.8
2016-10-01,453268,2.6
2016-10-02,453268,2.6
2016-10-03,453268,2.6
2016-10-04,453268,2.6
2016-10-05,453268,2.6
2016-10-06,453268,2.6
2016-10-07,453268,2.6
2016-10-08,453268,2.6
2016-10-09,453268,2.6
2016-10-10,453268,2.6
2016-10-11,453268,2.6
2016-10-12,453268,2.6
2016-10-13,453268,2.6
2016-10-14,453268,2.6
2016-10-15,453268,2.6
2016-10-16,453268,2.6
2016-10-17,453268,2.6
2016-10-18,453268,2.6
2016-10-19,453268,2.6
2016-10-20,453268,2.6
2016-10-21,453268,2.6
2016-10-22,453268,2.6
2016-10-23,453268,2.6
2016-10-24,453268,2.6
2016-10-25,453268,2.6
2016-10-26,453268,2.6
2016-10-27,453268,2.6
2016-10-28,453268,2.6
2016-10-29,453268,2.6
2016-10-30,453268,2.6
2016-10-31,453268,2.6
2016-11-01,453268,2.6
2016-11-02,453268,2.6
2016-11-03,453268,2.6
2016-11-04,453268,2.6
2016-11-05,453268,2.6
2016-11-06,453268,2.6
2016-11-07,453268,2.6
2016-11-08,453268,2.6
2016-11-09,453268,2.6
2016-11-10,453268,2.6
2016-11-11,453268,2.6
2016-11-12,453268,2.6
2016-11-13,453268,2.6
2016-11-14,453268,2.6
2016-11-15,453268,2.6
2016-11-16,453268,2.6
2016-11-17,453268,2.6
2016-11-18,453268,2.6
2016-11-19,453268,2.6
2016-11-20,453268,2.6
2016-11-21,453268,2.6
2016-11-22,453268,2.6
2016-11-23,453268,2.6
2016-11-24,453268,2.6
2016-11-25,453268,2.6
2016-11-26,453268,2.6
2016-11-27,453268,2.6
2016-11-28,453268,2.6
2016-11-29,453268,2.6
2016-11-30,453268,2.6
2016-12-01,453268,2.6
2016-12-02,453268,2.6
2016-12-03,453268,2.6
2016-12-04,453268,2.6
2016-12-05,453268,2.6
2016-12-06,453268,2.6
2016-12-07,453268,2.6
2016-12-08,453268,2.6
2016-12-09,453268,2.6
2016-12-10,453268,2.6
2016-12-11,453268,2.6
2016-12-12,453268,2.6
2016-12-13,453268,2.6
2016-12-14,453268,2.6
2016-12-15,453268,2.6
2016-12-16,453268,2.6
2016-12-17,453268,2.6
2016-12-18,453268,2.6
2016-12-19,453268,2.6
2016-12-20,453268,2.6
2016-12-21,453268,2.6
2016-12-22,453268,2.6
