date,Export amount,Export growth rate,Import amount,Import growth rate
2015-09-13,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-14,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-15,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-16,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-17,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-18,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-19,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-20,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-21,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-22,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-23,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-24,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-25,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-26,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-27,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-28,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-29,"43,432,312",-8.5,"34,540,504",-21.8
2015-09-30,"43,432,312",-8.5,"34,540,504",-21.8
2015-10-01,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-02,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-03,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-04,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-05,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-06,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-07,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-08,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-09,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-10,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-11,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-12,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-13,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-14,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-15,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-16,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-17,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-18,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-19,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-20,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-21,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-22,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-23,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-24,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-25,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-26,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-27,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-28,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-29,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-30,"43,352,046",-16.0,"36,762,975",-16.6
2015-10-31,"43,352,046",-16.0,"36,762,975",-16.6
2015-11-01,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-02,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-03,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-04,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-05,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-06,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-07,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-08,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-09,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-10,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-11,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-12,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-13,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-14,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-15,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-16,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-17,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-18,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-19,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-20,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-21,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-22,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-23,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-24,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-25,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-26,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-27,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-28,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-29,"44,285,052",-5.0,"34,049,682",-17.6
2015-11-30,"44,285,052",-5.0,"34,049,682",-17.6
2015-12-01,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-02,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-03,"42,379,843",-14.3,"35,462,311",-19.2
2015-12-04,"42,379,843",-14.3,"35,462,311",-19.2
